implementation,action,num_rows,num_cols,filled,time
array,find: existing value,10000,100,0.33,10.232921499999975
linked_list,find: existing value,10000,100,0.33,0.20116920000009486
csr,find: existing value,10000,100,0.33,20.740921800000024
array,find: non-existing value,10000,100,0.33,11.32267590000015
linked_list,find: non-existing value,10000,100,0.33,0.17690010000001166
csr,find: non-existing value,10000,100,0.33,21.044157600000062
array,find: existing value,10000,100,0.66,13.276611499999944
linked_list,find: existing value,10000,100,0.66,0.17437749999999141
csr,find: existing value,10000,100,0.66,24.68754489999992
array,find: non-existing value,10000,100,0.66,14.411288300000024
linked_list,find: non-existing value,10000,100,0.66,0.17622189999997317
csr,find: non-existing value,10000,100,0.66,27.358222299999852
array,find: existing value,10000,100,1.0,16.662110500000153
linked_list,find: existing value,10000,100,1.0,0.17748889999984385
csr,find: existing value,10000,100,1.0,30.709324700000025
array,find: non-existing value,10000,100,1.0,15.350903499999959
linked_list,find: non-existing value,10000,100,1.0,0.1896315000001323
csr,find: non-existing value,10000,100,1.0,30.470222700000022
array,find: existing value,1000,1000,0.33,9.534463599999981
linked_list,find: existing value,1000,1000,0.33,0.01975799999991068
csr,find: existing value,1000,1000,0.33,23.941859600000043
array,find: non-existing value,1000,1000,0.33,9.098984700000074
linked_list,find: non-existing value,1000,1000,0.33,0.019703100000242557
csr,find: non-existing value,1000,1000,0.33,20.152150300000358
array,find: existing value,1000,1000,0.66,11.28999419999991
linked_list,find: existing value,1000,1000,0.66,0.022327099999984057
csr,find: existing value,1000,1000,0.66,24.895062099999905
array,find: non-existing value,1000,1000,0.66,11.350858000000244
linked_list,find: non-existing value,1000,1000,0.66,0.029753100000107224
csr,find: non-existing value,1000,1000,0.66,26.1480746000002
array,find: existing value,1000,1000,1.0,15.716238299999986
linked_list,find: existing value,1000,1000,1.0,0.03024730000015552
csr,find: existing value,1000,1000,1.0,33.194922399999996
array,find: non-existing value,1000,1000,1.0,15.237332400000014
linked_list,find: non-existing value,1000,1000,1.0,0.027757500000006985
csr,find: non-existing value,1000,1000,1.0,33.43692060000012
array,find: existing value,1000,10,0.33,0.12311879999970188
linked_list,find: existing value,1000,10,0.33,0.01781140000002779
csr,find: existing value,1000,10,0.33,0.20354989999987083
array,find: non-existing value,1000,10,0.33,0.1350163000001885
linked_list,find: non-existing value,1000,10,0.33,0.020067399999788904
csr,find: non-existing value,1000,10,0.33,0.22412990000020727
array,find: existing value,1000,10,0.66,0.2057012999998733
linked_list,find: existing value,1000,10,0.66,0.021262900000238005
csr,find: existing value,1000,10,0.66,0.28681030000007013
array,find: non-existing value,1000,10,0.66,0.18519749999995838
linked_list,find: non-existing value,1000,10,0.66,0.022644300000138173
csr,find: non-existing value,1000,10,0.66,0.2762121999999181
array,find: existing value,1000,10,1.0,0.2258335999999872
linked_list,find: existing value,1000,10,1.0,0.020583600000009028
csr,find: existing value,1000,10,1.0,0.35445879999997487
array,find: non-existing value,1000,10,1.0,0.21870769999986805
linked_list,find: non-existing value,1000,10,1.0,0.029151699999601988
csr,find: non-existing value,1000,10,1.0,0.3184658000000127
array,find: existing value,100,10000,0.33,10.666046800000004
linked_list,find: existing value,100,10000,0.33,0.03891360000034183
csr,find: existing value,100,10000,0.33,22.483664000000317
array,find: non-existing value,100,10000,0.33,9.95568110000022
linked_list,find: non-existing value,100,10000,0.33,0.042204900000342604
csr,find: non-existing value,100,10000,0.33,20.981901300000118
array,find: existing value,100,10000,0.66,12.457245499999772
linked_list,find: existing value,100,10000,0.66,0.06010240000023259
csr,find: existing value,100,10000,0.66,26.688135700000203
array,find: non-existing value,100,10000,0.66,13.006339600000047
linked_list,find: non-existing value,100,10000,0.66,0.06119769999986602
csr,find: non-existing value,100,10000,0.66,27.25617289999991
array,find: existing value,100,10000,1.0,14.869521799999802
linked_list,find: existing value,100,10000,1.0,0.11768819999997504
csr,find: existing value,100,10000,1.0,31.519741800000247
array,find: non-existing value,100,10000,1.0,14.76355650000005
linked_list,find: non-existing value,100,10000,1.0,0.08746500000006563
csr,find: non-existing value,100,10000,1.0,32.886330799999996
array,find: existing value,100,100,0.33,0.11144899999999325
linked_list,find: existing value,100,100,0.33,0.002271399999699497
csr,find: existing value,100,100,0.33,0.2105071000000862
array,find: non-existing value,100,100,0.33,0.08996590000015203
linked_list,find: non-existing value,100,100,0.33,0.0023481999996874947
csr,find: non-existing value,100,100,0.33,0.20616339999969568
array,find: existing value,100,100,0.66,0.15313790000027439
linked_list,find: existing value,100,100,0.66,0.002708999999867956
csr,find: existing value,100,100,0.66,0.2844291000001249
array,find: non-existing value,100,100,0.66,0.12787800000023708
linked_list,find: non-existing value,100,100,0.66,0.002105200000187324
