implementation,action,num_rows,num_cols,filled,time
array,find: existing value,10000,100,0.3,0.7906850999997914
linked_list,find: existing value,10000,100,0.3,0.015620499999840831
csr,find: existing value,10000,100,0.3,1.7551188000002185
array,find: non-existing value,10000,100,0.3,0.7845830000001115
linked_list,find: non-existing value,10000,100,0.3,0.015997299999980896
csr,find: non-existing value,10000,100,0.3,1.753671000000395
array,find: existing value,10000,100,1.0,1.2596080999996957
linked_list,find: existing value,10000,100,1.0,0.016541399999823625
csr,find: existing value,10000,100,1.0,2.6579137000003357
array,find: non-existing value,10000,100,1.0,1.235753299999942
linked_list,find: non-existing value,10000,100,1.0,0.017798599999878206
csr,find: non-existing value,10000,100,1.0,2.6388403999999355
array,find: existing value,1000,1000,0.3,0.8312536999997064
linked_list,find: existing value,1000,1000,0.3,0.0018844999999600986
csr,find: existing value,1000,1000,0.3,1.912057100000311
array,find: non-existing value,1000,1000,0.3,0.8147620999998253
linked_list,find: non-existing value,1000,1000,0.3,0.0018817999998645973
csr,find: non-existing value,1000,1000,0.3,1.9820465999996486
array,find: existing value,1000,1000,1.0,1.3562642000001688
linked_list,find: existing value,1000,1000,1.0,0.002437199999803852
csr,find: existing value,1000,1000,1.0,2.9355961000001116
array,find: non-existing value,1000,1000,1.0,1.329050400000142
linked_list,find: non-existing value,1000,1000,1.0,0.0024146000000655476
csr,find: non-existing value,1000,1000,1.0,3.0417418000001817
array,find: existing value,100,10000,0.3,0.8458851999998842
linked_list,find: existing value,100,10000,0.3,0.0025342999997519655
csr,find: existing value,100,10000,0.3,1.878194700000222
array,find: non-existing value,100,10000,0.3,0.8191582000004018
linked_list,find: non-existing value,100,10000,0.3,0.0024355000000468863
csr,find: non-existing value,100,10000,0.3,1.914628399999856
array,find: existing value,100,10000,1.0,1.369517999999971
linked_list,find: existing value,100,10000,1.0,0.008271699999568227
csr,find: existing value,100,10000,1.0,3.1742615999996815
array,find: non-existing value,100,10000,1.0,1.5305302000001575
linked_list,find: non-existing value,100,10000,1.0,0.008670500000334869
csr,find: non-existing value,100,10000,1.0,3.1335118000001785
array,find: existing value,2500,25,0.3,0.07119939999984126
linked_list,find: existing value,2500,25,0.3,0.006191500000113592
csr,find: existing value,2500,25,0.3,0.1248967999999877
array,find: non-existing value,2500,25,0.3,0.061706499999672815
linked_list,find: non-existing value,2500,25,0.3,0.004856200000176614
csr,find: non-existing value,2500,25,0.3,0.12612459999991188
array,find: existing value,2500,25,1.0,0.11798419999968246
linked_list,find: existing value,2500,25,1.0,0.004593900000145368
csr,find: existing value,2500,25,1.0,0.1781344999999419
array,find: non-existing value,2500,25,1.0,0.16369489999988218
linked_list,find: non-existing value,2500,25,1.0,0.010837599999831582
csr,find: non-existing value,2500,25,1.0,0.23508480000009513
array,find: existing value,250,250,0.3,0.05364460000009785
linked_list,find: existing value,250,250,0.3,0.0004565999997794279
csr,find: existing value,250,250,0.3,0.12614450000000943
array,find: non-existing value,250,250,0.3,0.08528699999988021
linked_list,find: non-existing value,250,250,0.3,0.0005851000000802742
csr,find: non-existing value,250,250,0.3,0.13534370000024865
array,find: existing value,250,250,1.0,0.08882330000005823
linked_list,find: existing value,250,250,1.0,0.0006032000001141569
csr,find: existing value,250,250,1.0,0.24563669999997728
array,find: non-existing value,250,250,1.0,0.23400549999996656
linked_list,find: non-existing value,250,250,1.0,0.0006713000002491754
csr,find: non-existing value,250,250,1.0,0.20813219999990906
array,find: existing value,25,2500,0.3,0.07670499999994718
linked_list,find: existing value,25,2500,0.3,0.0007625999996889732
csr,find: existing value,25,2500,0.3,0.14030700000012075
array,find: non-existing value,25,2500,0.3,0.06626909999977215
linked_list,find: non-existing value,25,2500,0.3,0.0006988000000092143
csr,find: non-existing value,25,2500,0.3,0.25216760000012073
array,find: existing value,25,2500,1.0,0.09919970000009926
linked_list,find: existing value,25,2500,1.0,0.0023012999999991735
csr,find: existing value,25,2500,1.0,0.18775390000018888
array,find: non-existing value,25,2500,1.0,0.08040369999980612
linked_list,find: non-existing value,25,2500,1.0,0.0019270000002507004
csr,find: non-existing value,25,2500,1.0,0.17583849999982704
array,find: existing value,5000,50,0.3,0.21753179999996064
linked_list,find: existing value,5000,50,0.3,0.008971499999915977
csr,find: existing value,5000,50,0.3,0.5135622000002513
array,find: non-existing value,5000,50,0.3,0.21574349999991682
linked_list,find: non-existing value,5000,50,0.3,0.009111699999721168
csr,find: non-existing value,5000,50,0.3,0.5200639999998202
array,find: existing value,5000,50,1.0,0.4796919999998863
linked_list,find: existing value,5000,50,1.0,0.01008209999963583
csr,find: existing value,5000,50,1.0,0.7631365000002006
array,find: non-existing value,5000,50,1.0,0.3881818999998359
linked_list,find: non-existing value,5000,50,1.0,0.008606200000031095
csr,find: non-existing value,5000,50,1.0,0.7991110999996636
array,find: existing value,500,500,0.3,0.2675804000000426
linked_list,find: existing value,500,500,0.3,0.0018744000003607653
csr,find: existing value,500,500,0.3,0.6106655999997201
array,find: non-existing value,500,500,0.3,0.22901930000034554
linked_list,find: non-existing value,500,500,0.3,0.0009961000000657805
csr,find: non-existing value,500,500,0.3,0.6472444999999425
array,find: existing value,500,500,1.0,0.5419154999999591
linked_list,find: existing value,500,500,1.0,0.0020823999998356157
csr,find: existing value,500,500,1.0,0.9125472999999147
array,find: non-existing value,500,500,1.0,0.3729880000000776
linked_list,find: non-existing value,500,500,1.0,0.00136880000036399
csr,find: non-existing value,500,500,1.0,0.8074100999997427
array,find: existing value,500,5,0.3,0.00396439999985887
